state,response,coverage,education,employment_status,gender,location_code,marital_status,policy_type,renew_offer_type,sales_channel,vehicle_class,vehicle_size
mountain states,No,Basic,superior education,unemployed,M,urban,Single,Personal,D,Web,standard cars,Medsize
mountain states,No,Premium,secondary or below,employed,F,urban,Married,Personal,B,Branch,standard cars,Small
mountain states,No,Basic,superior education,unemployed,F,urban,Single,Personal,B,Call Center,standard cars,Small
pacific states,No,Basic,superior education,employed,M,urban,Married,Personal,D,Call Center,standard cars,Medsize
pacific states,Yes,Basic,secondary or below,employed,M,urban,Married,Personal,B,Branch,standard cars,Medsize
pacific states,No,Basic,superior education,unemployed,M,urban,Single,Personal,D,Web,standard cars,Medsize
pacific states,No,Extended,secondary or below,employed,F,urban,Married,Personal,B,Branch,standard cars,Medsize
pacific states,No,Basic,superior education,employed,F,rural,Married,Personal,B,Agent,standard cars,Medsize
pacific states,No,Basic,superior education,employed,M,urban,Married,Personal,A,Agent,standard cars,Small
pacific states,No,Extended,superior education,employed,M,rural,Divorced,Personal,A,Web,standard cars,Medsize
pacific states,Yes,Extended,secondary or below,employed,M,urban,Single,Personal,A,Agent,standard cars,Medsize
mountain states,No,Basic,superior education,employed,F,urban,Married,Personal,A,Call Center,standard cars,Medsize
mountain states,No,Extended,superior education,employed,F,urban,Single,Personal,B,Agent,standard cars,Medsize
mountain states,No,Basic,superior education,employed,M,urban,Married,Personal,D,Agent,standard cars,Medsize
pacific states,No,Extended,superior education,employed,F,urban,Married,Personal,A,Agent,standard cars,Medsize
pacific states,No,Basic,superior education,employed,F,urban,Divorced,Personal,A,Branch,standard cars,Medsize
pacific states,No,Extended,superior education,other,M,urban,Divorced,Personal,B,Call Center,standard cars,Medsize
mountain states,No,Basic,superior education,unemployed,M,urban,Single,Personal,A,Branch,standard cars,Medsize
mountain states,No,Basic,superior education,employed,M,urban,Married,Personal,B,Agent,standard cars,Medsize
pacific states,No,Extended,superior education,employed,M,rural,Married,Personal,D,Web,standard cars,Medsize
pacific states,No,Premium,superior education,employed,M,rural,Married,Personal,A,Branch,standard cars,Large
pacific states,No,Basic,secondary or below,employed,F,urban,Single,Corporate,C,Call Center,standard cars,Large
pacific states,No,Basic,superior education,employed,F,urban,Married,Personal,B,Web,standard cars,Small
pacific states,No,Premium,superior education,unemployed,M,urban,Single,Personal,C,Branch,standard cars,Medsize
mountain states,No,Extended,superior education,unemployed,M,urban,Single,Personal,B,Agent,standard cars,Medsize
pacific states,No,Extended,superior education,other,F,urban,Married,Personal,A,Branch,standard cars,Medsize
mountain states,No,Extended,superior education,employed,F,rural,Divorced,Corporate,A,Call Center,standard cars,Medsize
pacific states,No,Basic,superior education,employed,F,urban,Divorced,Personal,C,Agent,standard cars,Small
pacific states,No,Basic,superior education,employed,F,rural,Married,Corporate,C,Branch,standard cars,Medsize
pacific states,No,Extended,superior education,other,F,urban,Single,Corporate,A,Agent,standard cars,Medsize
pacific states,Yes,Basic,secondary or below,employed,F,urban,Single,Special,A,Agent,standard cars,Small
mountain states,Yes,Basic,superior education,other,M,urban,Divorced,Personal,A,Agent,standard cars,Medsize
pacific states,No,Basic,superior education,employed,M,urban,Single,Personal,B,Web,standard cars,Medsize
mountain states,No,Basic,superior education,employed,M,urban,Married,Personal,C,Branch,standard cars,Large
mountain states,No,Premium,secondary or below,other,F,urban,Divorced,Personal,B,Branch,standard cars,Medsize
pacific states,No,Basic,superior education,employed,M,urban,Married,Personal,C,Call Center,standard cars,Medsize
mountain states,No,Extended,secondary or below,employed,F,urban,Married,Personal,D,Agent,standard cars,Small
mountain states,No,Basic,secondary or below,other,F,urban,Married,Personal,D,Web,standard cars,Medsize
pacific states,No,Basic,superior education,employed,M,urban,Married,Personal,A,Agent,standard cars,Medsize
pacific states,No,Basic,secondary or below,other,F,urban,Single,Corporate,A,Agent,standard cars,Small
pacific states,No,Basic,secondary or below,unemployed,M,urban,Single,Personal,A,Agent,standard cars,Medsize
pacific states,No,Basic,superior education,employed,M,urban,Married,Personal,A,Agent,luxury cars,Medsize
mountain states,No,Extended,superior education,employed,M,urban,Married,Personal,A,Branch,standard cars,Medsize
pacific states,Yes,Extended,superior education,employed,F,urban,Married,Personal,B,Call Center,standard cars,Medsize
mountain states,No,Basic,superior education,employed,M,urban,Single,Personal,B,Branch,standard cars,Medsize
pacific states,Yes,Extended,superior education,employed,M,urban,Married,Personal,A,Branch,standard cars,Medsize
mountain states,No,Basic,secondary or below,employed,F,urban,Married,Personal,B,Branch,standard cars,Small
pacific states,No,Basic,secondary or below,employed,F,urban,Married,Personal,D,Branch,standard cars,Small
pacific states,No,Basic,superior education,unemployed,F,urban,Single,Personal,C,Web,standard cars,Medsize
mountain states,No,Basic,superior education,employed,M,urban,Divorced,Personal,A,Branch,standard cars,Medsize
mountain states,No,Basic,superior education,employed,F,rural,Divorced,Personal,A,Agent,standard cars,Medsize
mountain states,No,Basic,secondary or below,employed,M,rural,Married,Personal,A,Agent,luxury cars,Medsize
pacific states,No,Premium,superior education,employed,M,rural,Single,Personal,A,Agent,standard cars,Large
pacific states,No,Basic,superior education,unemployed,F,urban,Single,Special,A,Agent,standard cars,Medsize
pacific states,No,Basic,superior education,employed,F,urban,Married,Corporate,B,Call Center,standard cars,Medsize
mountain states,No,Extended,superior education,employed,F,rural,Married,Personal,A,Branch,standard cars,Large
mountain states,Yes,Basic,superior education,other,M,urban,Married,Personal,A,Branch,standard cars,Medsize
mountain states,No,Basic,secondary or below,unemployed,M,urban,Single,Personal,D,Agent,standard cars,Medsize
pacific states,No,Extended,superior education,employed,M,urban,Married,Corporate,B,Agent,standard cars,Medsize
mountain states,No,Basic,superior education,unemployed,M,urban,Single,Personal,A,Agent,standard cars,Medsize
pacific states,No,Basic,superior education,unemployed,M,urban,Single,Personal,A,Call Center,standard cars,Medsize
pacific states,Yes,Basic,superior education,unemployed,M,urban,Married,Personal,B,Agent,standard cars,Medsize
mountain states,No,Basic,superior education,employed,M,rural,Divorced,Personal,A,Branch,standard cars,Medsize
mountain states,No,Premium,superior education,employed,M,rural,Married,Personal,B,Agent,standard cars,Medsize
mountain states,No,Basic,superior education,employed,M,urban,Married,Personal,D,Branch,standard cars,Medsize
pacific states,No,Premium,superior education,unemployed,F,urban,Married,Personal,A,Agent,standard cars,Medsize
pacific states,No,Basic,superior education,other,F,urban,Married,Personal,A,Branch,standard cars,Medsize
pacific states,No,Extended,superior education,other,F,urban,Married,Personal,D,Call Center,standard cars,Medsize
pacific states,No,Extended,superior education,employed,F,rural,Married,Personal,D,Web,standard cars,Large
pacific states,No,Basic,secondary or below,other,F,urban,Married,Personal,B,Branch,standard cars,Small
pacific states,No,Basic,superior education,employed,M,urban,Divorced,Personal,A,Call Center,standard cars,Small
pacific states,Yes,Extended,superior education,employed,F,rural,Married,Personal,B,Call Center,standard cars,Small
pacific states,No,Extended,secondary or below,employed,M,urban,Married,Personal,D,Call Center,standard cars,Medsize
pacific states,No,Basic,superior education,employed,M,urban,Married,Corporate,A,Branch,standard cars,Small
pacific states,No,Premium,secondary or below,employed,M,urban,Married,Corporate,B,Call Center,standard cars,Large
pacific states,No,Extended,secondary or below,unemployed,M,urban,Single,Personal,A,Call Center,standard cars,Medsize
pacific states,No,Basic,superior education,employed,M,urban,Married,Personal,B,Call Center,standard cars,Small
pacific states,No,Extended,superior education,employed,M,urban,Married,Personal,B,Branch,standard cars,Medsize
pacific states,No,Basic,superior education,employed,F,urban,Married,Corporate,B,Web,standard cars,Small
pacific states,No,Extended,superior education,employed,M,urban,Married,Personal,A,Branch,standard cars,Medsize
mountain states,No,Extended,superior education,unemployed,M,rural,Married,Personal,A,Branch,standard cars,Medsize
pacific states,No,Basic,secondary or below,unemployed,M,urban,Single,Personal,A,Call Center,standard cars,Medsize
pacific states,No,Basic,superior education,employed,F,urban,Married,Personal,A,Agent,standard cars,Large
pacific states,No,Extended,superior education,employed,F,urban,Married,Special,A,Branch,luxury cars,Medsize
pacific states,No,Basic,superior education,employed,M,urban,Married,Personal,C,Agent,standard cars,Medsize
pacific states,No,Extended,superior education,employed,F,urban,Divorced,Corporate,C,Web,standard cars,Medsize
pacific states,No,Basic,superior education,employed,F,urban,Married,Personal,B,Call Center,standard cars,Medsize
pacific states,No,Basic,superior education,employed,M,urban,Married,Corporate,C,Web,standard cars,Medsize
pacific states,No,Basic,secondary or below,employed,F,urban,Married,Personal,A,Call Center,luxury cars,Large
mountain states,No,Premium,superior education,employed,F,urban,Married,Personal,D,Branch,standard cars,Medsize
pacific states,Yes,Basic,superior education,employed,F,urban,Married,Corporate,B,Agent,standard cars,Small
pacific states,No,Extended,superior education,unemployed,M,urban,Divorced,Corporate,A,Web,standard cars,Medsize
pacific states,No,Basic,superior education,employed,M,rural,Divorced,Corporate,B,Web,standard cars,Medsize
mountain states,No,Basic,superior education,employed,M,rural,Married,Corporate,A,Branch,standard cars,Large
pacific states,No,Basic,superior education,other,F,urban,Married,Corporate,A,Web,standard cars,Small
pacific states,No,Basic,superior education,unemployed,F,rural,Married,Corporate,C,Call Center,standard cars,Medsize
pacific states,Yes,Premium,superior education,other,F,urban,Divorced,Personal,A,Agent,standard cars,Medsize
pacific states,No,Premium,superior education,employed,F,rural,Married,Corporate,C,Agent,standard cars,Medsize
mountain states,Yes,Extended,secondary or below,employed,F,urban,Divorced,Personal,B,Agent,standard cars,Medsize
pacific states,No,Basic,secondary or below,unemployed,F,urban,Single,Personal,C,Branch,standard cars,Medsize
mountain states,No,Basic,superior education,employed,F,urban,Married,Corporate,B,Web,standard cars,Small
pacific states,No,Premium,superior education,unemployed,F,urban,Married,Personal,A,Branch,luxury cars,Medsize
pacific states,No,Basic,superior education,unemployed,F,urban,Single,Personal,A,Agent,standard cars,Small
pacific states,No,Basic,superior education,employed,M,urban,Single,Corporate,B,Call Center,standard cars,Medsize
mountain states,Yes,Extended,superior education,employed,F,urban,Married,Personal,B,Call Center,standard cars,Medsize
mountain states,No,Basic,superior education,employed,F,rural,Married,Personal,B,Branch,standard cars,Medsize
pacific states,Yes,Basic,superior education,employed,M,urban,Single,Personal,B,Agent,standard cars,Medsize
pacific states,No,Basic,secondary or below,employed,F,urban,Married,Personal,A,Call Center,standard cars,Medsize
pacific states,Yes,Basic,superior education,employed,F,urban,Married,Personal,B,Branch,standard cars,Medsize
pacific states,Yes,Basic,secondary or below,other,M,urban,Single,Corporate,A,Call Center,standard cars,Medsize
pacific states,Yes,Basic,secondary or below,employed,M,urban,Married,Personal,B,Agent,standard cars,Small
mountain states,No,Extended,superior education,unemployed,M,urban,Married,Special,A,Agent,standard cars,Small
mountain states,Yes,Basic,superior education,employed,M,urban,Married,Personal,B,Agent,standard cars,Medsize
pacific states,No,Extended,superior education,employed,M,urban,Married,Corporate,A,Web,standard cars,Medsize
pacific states,No,Basic,secondary or below,employed,F,urban,Married,Personal,A,Branch,standard cars,Medsize
mountain states,No,Basic,superior education,unemployed,M,rural,Divorced,Personal,D,Call Center,standard cars,Medsize
pacific states,No,Premium,superior education,employed,M,urban,Married,Personal,A,Branch,standard cars,Medsize
pacific states,Yes,Basic,superior education,unemployed,M,urban,Married,Personal,A,Agent,standard cars,Large
pacific states,No,Basic,superior education,unemployed,M,urban,Married,Corporate,C,Web,standard cars,Medsize
pacific states,No,Basic,secondary or below,employed,M,urban,Divorced,Personal,B,Web,standard cars,Small
pacific states,Yes,Premium,secondary or below,employed,F,rural,Married,Corporate,B,Web,standard cars,Medsize
mountain states,No,Basic,superior education,employed,M,rural,Divorced,Corporate,D,Agent,standard cars,Small
pacific states,No,Extended,secondary or below,unemployed,M,urban,Single,Personal,A,Branch,standard cars,Medsize
pacific states,No,Basic,secondary or below,employed,M,urban,Single,Personal,A,Branch,standard cars,Medsize
mountain states,No,Basic,superior education,employed,F,urban,Divorced,Personal,B,Branch,luxury cars,Medsize
mountain states,No,Basic,secondary or below,unemployed,M,urban,Single,Personal,C,Agent,standard cars,Medsize
pacific states,No,Basic,superior education,employed,M,urban,Married,Personal,D,Web,standard cars,Medsize
pacific states,Yes,Extended,superior education,employed,M,urban,Married,Corporate,C,Agent,standard cars,Medsize
pacific states,No,Extended,secondary or below,employed,M,urban,Married,Personal,B,Branch,standard cars,Medsize
pacific states,Yes,Basic,superior education,unemployed,M,urban,Divorced,Corporate,A,Agent,standard cars,Medsize
mountain states,No,Basic,superior education,employed,F,urban,Single,Personal,C,Web,standard cars,Medsize
pacific states,No,Extended,superior education,unemployed,M,urban,Married,Personal,A,Web,standard cars,Medsize
pacific states,No,Basic,secondary or below,unemployed,F,urban,Single,Personal,A,Web,standard cars,Small
pacific states,No,Basic,secondary or below,unemployed,F,urban,Single,Corporate,B,Call Center,standard cars,Medsize
mountain states,No,Premium,superior education,unemployed,M,urban,Single,Personal,B,Branch,standard cars,Small
pacific states,No,Basic,secondary or below,employed,M,urban,Single,Personal,B,Branch,standard cars,Medsize
pacific states,No,Basic,superior education,unemployed,M,urban,Single,Personal,B,Web,luxury cars,Medsize
pacific states,No,Basic,secondary or below,employed,F,urban,Married,Personal,B,Branch,luxury cars,Medsize
mountain states,Yes,Extended,secondary or below,employed,M,rural,Divorced,Personal,A,Agent,standard cars,Medsize
pacific states,No,Basic,superior education,unemployed,F,urban,Married,Personal,D,Web,standard cars,Medsize
pacific states,No,Basic,secondary or below,other,F,urban,Married,Personal,D,Call Center,standard cars,Medsize
pacific states,No,Basic,secondary or below,unemployed,F,urban,Single,Personal,A,Agent,standard cars,Medsize
pacific states,Yes,Extended,superior education,employed,F,urban,Married,Personal,B,Agent,standard cars,Medsize
pacific states,No,Premium,superior education,unemployed,M,urban,Married,Personal,A,Call Center,standard cars,Small
pacific states,No,Basic,superior education,other,M,urban,Divorced,Personal,A,Agent,luxury cars,Medsize
pacific states,No,Premium,superior education,unemployed,F,urban,Single,Personal,C,Branch,standard cars,Medsize
pacific states,No,Basic,secondary or below,employed,M,urban,Married,Personal,B,Branch,standard cars,Medsize
mountain states,No,Extended,superior education,employed,M,urban,Married,Special,D,Agent,standard cars,Medsize
pacific states,No,Extended,secondary or below,unemployed,M,urban,Single,Personal,A,Agent,standard cars,Medsize
pacific states,No,Extended,superior education,employed,M,urban,Married,Corporate,C,Branch,standard cars,Large
pacific states,No,Basic,superior education,unemployed,F,urban,Married,Corporate,A,Branch,standard cars,Medsize
pacific states,No,Premium,superior education,employed,F,urban,Married,Personal,C,Agent,standard cars,Medsize
pacific states,Yes,Basic,superior education,other,F,urban,Divorced,Corporate,A,Agent,standard cars,Small
pacific states,No,Extended,superior education,unemployed,M,urban,Single,Corporate,A,Agent,luxury cars,Medsize
mountain states,No,Extended,secondary or below,employed,F,rural,Married,Personal,B,Agent,standard cars,Medsize
mountain states,No,Basic,secondary or below,employed,F,urban,Married,Personal,C,Web,standard cars,Medsize
mountain states,Yes,Basic,secondary or below,employed,M,urban,Married,Personal,B,Call Center,standard cars,Small
pacific states,No,Basic,superior education,unemployed,F,rural,Divorced,Corporate,B,Branch,standard cars,Medsize
mountain states,No,Basic,superior education,employed,M,rural,Divorced,Personal,A,Agent,standard cars,Large
pacific states,No,Extended,superior education,employed,M,rural,Married,Personal,B,Agent,standard cars,Large
pacific states,No,Basic,superior education,unemployed,M,rural,Divorced,Personal,A,Web,standard cars,Medsize
pacific states,No,Basic,secondary or below,employed,M,urban,Single,Personal,D,Branch,standard cars,Medsize
mountain states,No,Basic,superior education,employed,F,urban,Single,Personal,A,Agent,standard cars,Small
pacific states,No,Basic,secondary or below,unemployed,M,urban,Single,Personal,B,Call Center,standard cars,Medsize
pacific states,No,Basic,superior education,employed,F,urban,Married,Corporate,B,Agent,standard cars,Medsize
pacific states,No,Basic,superior education,unemployed,F,urban,Single,Personal,A,Agent,standard cars,Medsize
pacific states,No,Basic,superior education,employed,M,urban,Married,Personal,C,Call Center,standard cars,Medsize
pacific states,No,Basic,superior education,employed,M,urban,Married,Personal,B,Call Center,standard cars,Medsize
mountain states,Yes,Basic,superior education,other,M,urban,Married,Personal,A,Agent,standard cars,Medsize
mountain states,No,Extended,superior education,unemployed,F,urban,Married,Personal,D,Branch,standard cars,Medsize
pacific states,Yes,Basic,superior education,other,F,urban,Married,Corporate,B,Call Center,standard cars,Medsize
pacific states,No,Basic,superior education,employed,M,urban,Married,Personal,D,Call Center,standard cars,Medsize
pacific states,No,Basic,superior education,employed,M,rural,Married,Personal,B,Web,standard cars,Medsize
pacific states,No,Premium,superior education,other,M,urban,Married,Personal,D,Call Center,standard cars,Medsize
mountain states,No,Basic,superior education,employed,M,rural,Divorced,Personal,D,Agent,standard cars,Medsize
pacific states,No,Basic,superior education,unemployed,M,urban,Married,Corporate,A,Branch,standard cars,Medsize
mountain states,No,Extended,superior education,employed,F,urban,Married,Corporate,A,Branch,standard cars,Small
pacific states,No,Basic,superior education,employed,F,urban,Married,Personal,B,Call Center,standard cars,Medsize
mountain states,Yes,Basic,superior education,employed,F,rural,Married,Personal,B,Web,standard cars,Medsize
mountain states,No,Basic,superior education,unemployed,M,urban,Married,Personal,D,Branch,standard cars,Medsize
pacific states,No,Basic,superior education,employed,M,urban,Single,Personal,A,Call Center,standard cars,Medsize
pacific states,No,Basic,superior education,other,M,urban,Married,Corporate,A,Agent,standard cars,Medsize
pacific states,No,Basic,superior education,employed,M,urban,Married,Personal,A,Branch,standard cars,Medsize
pacific states,No,Premium,superior education,employed,F,urban,Married,Personal,A,Branch,standard cars,Small
pacific states,No,Premium,superior education,other,F,urban,Married,Corporate,A,Web,standard cars,Medsize
pacific states,No,Basic,superior education,unemployed,M,urban,Single,Personal,A,Agent,standard cars,Medsize
pacific states,No,Basic,superior education,employed,M,urban,Married,Personal,B,Call Center,standard cars,Large
pacific states,No,Basic,superior education,employed,M,urban,Married,Personal,B,Branch,standard cars,Small
mountain states,Yes,Basic,secondary or below,unemployed,F,urban,Divorced,Corporate,A,Web,luxury cars,Medsize
pacific states,No,Extended,superior education,unemployed,M,urban,Married,Personal,A,Agent,standard cars,Small
pacific states,No,Premium,superior education,employed,F,rural,Married,Corporate,A,Agent,standard cars,Medsize
pacific states,No,Extended,secondary or below,employed,F,urban,Single,Personal,A,Call Center,standard cars,Medsize
pacific states,No,Basic,superior education,employed,M,rural,Divorced,Personal,B,Agent,standard cars,Medsize
pacific states,No,Extended,secondary or below,employed,F,urban,Divorced,Personal,C,Branch,standard cars,Small
mountain states,No,Extended,secondary or below,unemployed,M,rural,Married,Personal,D,Branch,standard cars,Medsize
pacific states,No,Basic,superior education,employed,F,urban,Single,Personal,A,Call Center,standard cars,Medsize
mountain states,Yes,Extended,superior education,other,F,urban,Single,Corporate,A,Agent,standard cars,Medsize
mountain states,Yes,Premium,superior education,employed,F,rural,Divorced,Personal,B,Agent,standard cars,Medsize
pacific states,No,Basic,superior education,employed,M,urban,Married,Corporate,A,Branch,standard cars,Small
pacific states,No,Basic,superior education,employed,M,urban,Married,Personal,C,Agent,standard cars,Large
pacific states,No,Basic,secondary or below,unemployed,F,urban,Single,Special,A,Agent,standard cars,Medsize
pacific states,Yes,Basic,superior education,employed,M,urban,Married,Corporate,A,Agent,standard cars,Medsize
mountain states,No,Extended,superior education,unemployed,M,urban,Married,Personal,A,Agent,standard cars,Medsize
pacific states,No,Basic,superior education,employed,M,rural,Divorced,Personal,C,Branch,standard cars,Large
pacific states,No,Basic,superior education,unemployed,M,urban,Married,Personal,C,Branch,standard cars,Medsize
pacific states,No,Basic,superior education,other,F,urban,Married,Corporate,C,Web,standard cars,Small
pacific states,No,Basic,superior education,employed,F,rural,Single,Personal,C,Call Center,standard cars,Medsize
pacific states,No,Basic,secondary or below,unemployed,F,urban,Married,Personal,A,Call Center,standard cars,Medsize
mountain states,No,Basic,superior education,other,F,urban,Married,Personal,A,Branch,standard cars,Medsize
pacific states,No,Extended,superior education,employed,M,urban,Married,Corporate,B,Agent,standard cars,Large
pacific states,No,Basic,superior education,employed,F,rural,Married,Personal,A,Branch,standard cars,Medsize
mountain states,No,Basic,superior education,employed,F,urban,Single,Personal,A,Call Center,standard cars,Medsize
pacific states,No,Basic,secondary or below,unemployed,F,urban,Single,Personal,A,Call Center,standard cars,Medsize
pacific states,No,Basic,secondary or below,employed,M,urban,Single,Personal,A,Web,luxury cars,Medsize
pacific states,No,Basic,secondary or below,employed,F,urban,Married,Personal,A,Web,standard cars,Medsize
mountain states,No,Basic,superior education,other,M,urban,Married,Personal,B,Branch,standard cars,Small
pacific states,No,Extended,superior education,employed,F,urban,Married,Personal,C,Agent,standard cars,Small
mountain states,No,Basic,secondary or below,employed,M,urban,Single,Personal,D,Branch,standard cars,Medsize
pacific states,No,Basic,superior education,employed,M,urban,Married,Personal,C,Agent,standard cars,Medsize
pacific states,No,Basic,superior education,employed,M,rural,Single,Personal,A,Agent,standard cars,Large
mountain states,No,Extended,secondary or below,employed,F,rural,Married,Personal,B,Branch,luxury cars,Small
mountain states,No,Premium,superior education,employed,F,urban,Single,Corporate,B,Agent,standard cars,Small
mountain states,No,Basic,secondary or below,other,M,urban,Divorced,Personal,A,Agent,standard cars,Small
mountain states,No,Extended,secondary or below,unemployed,M,urban,Single,Personal,A,Agent,standard cars,Medsize
pacific states,No,Basic,secondary or below,employed,M,rural,Married,Special,A,Call Center,luxury cars,Medsize
pacific states,Yes,Basic,superior education,employed,M,urban,Married,Personal,B,Agent,standard cars,Medsize
pacific states,No,Basic,superior education,unemployed,M,urban,Single,Corporate,B,Agent,standard cars,Small
pacific states,No,Basic,secondary or below,employed,M,urban,Married,Personal,B,Web,standard cars,Medsize
pacific states,Yes,Extended,superior education,employed,M,urban,Divorced,Personal,B,Agent,luxury cars,Medsize
pacific states,Yes,Basic,secondary or below,employed,F,urban,Married,Special,B,Agent,luxury cars,Medsize
mountain states,No,Basic,superior education,employed,M,rural,Single,Personal,B,Web,standard cars,Large
pacific states,Yes,Basic,secondary or below,other,F,urban,Married,Personal,A,Branch,standard cars,Large
pacific states,No,Extended,superior education,employed,M,rural,Married,Personal,C,Web,standard cars,Small
pacific states,No,Extended,superior education,employed,F,urban,Single,Personal,A,Call Center,standard cars,Medsize
pacific states,No,Extended,superior education,unemployed,M,urban,Single,Personal,A,Agent,standard cars,Medsize
pacific states,No,Premium,superior education,unemployed,F,rural,Married,Personal,A,Branch,standard cars,Medsize
pacific states,No,Basic,superior education,employed,F,urban,Married,Personal,D,Web,standard cars,Medsize
pacific states,Yes,Extended,secondary or below,other,F,urban,Married,Personal,B,Agent,standard cars,Large
mountain states,No,Basic,superior education,employed,F,rural,Married,Corporate,C,Agent,standard cars,Medsize
pacific states,No,Extended,secondary or below,unemployed,F,urban,Single,Personal,B,Branch,standard cars,Medsize
pacific states,No,Basic,secondary or below,employed,M,urban,Single,Personal,D,Agent,standard cars,Medsize
mountain states,No,Basic,superior education,other,M,urban,Married,Personal,B,Web,luxury cars,Medsize
pacific states,No,Extended,secondary or below,employed,F,urban,Married,Special,A,Agent,standard cars,Medsize
mountain states,No,Basic,superior education,employed,F,rural,Married,Personal,B,Web,standard cars,Small
mountain states,No,Basic,superior education,unemployed,M,urban,Married,Personal,B,Agent,standard cars,Medsize
mountain states,No,Basic,secondary or below,unemployed,M,urban,Single,Personal,B,Call Center,luxury cars,Large
pacific states,No,Extended,superior education,employed,M,urban,Married,Personal,A,Web,luxury cars,Medsize
pacific states,No,Basic,superior education,other,M,urban,Married,Personal,A,Agent,luxury cars,Medsize
mountain states,No,Basic,secondary or below,employed,M,urban,Married,Personal,B,Branch,standard cars,Medsize
mountain states,Yes,Basic,superior education,employed,M,urban,Married,Personal,A,Agent,standard cars,Large
pacific states,No,Basic,superior education,unemployed,M,rural,Married,Corporate,C,Agent,luxury cars,Medsize
pacific states,No,Extended,secondary or below,employed,F,urban,Divorced,Personal,A,Agent,luxury cars,Medsize
pacific states,No,Extended,superior education,employed,F,urban,Married,Personal,D,Agent,standard cars,Medsize
pacific states,No,Basic,secondary or below,unemployed,M,urban,Married,Personal,A,Branch,standard cars,Large
pacific states,No,Extended,superior education,unemployed,M,urban,Divorced,Personal,C,Agent,standard cars,Medsize
mountain states,No,Extended,superior education,unemployed,M,urban,Single,Personal,A,Branch,standard cars,Small
pacific states,No,Basic,superior education,unemployed,F,urban,Single,Corporate,A,Branch,luxury cars,Medsize
pacific states,No,Premium,secondary or below,other,F,urban,Divorced,Personal,B,Call Center,standard cars,Medsize
pacific states,No,Basic,secondary or below,unemployed,F,urban,Single,Personal,B,Branch,standard cars,Medsize
mountain states,No,Extended,secondary or below,employed,M,rural,Single,Corporate,C,Call Center,standard cars,Medsize
pacific states,No,Basic,secondary or below,employed,F,urban,Married,Personal,A,Call Center,luxury cars,Large
pacific states,No,Basic,secondary or below,unemployed,F,urban,Single,Special,B,Agent,standard cars,Medsize
pacific states,No,Basic,superior education,employed,F,rural,Divorced,Personal,C,Branch,standard cars,Medsize
pacific states,No,Basic,secondary or below,employed,F,urban,Married,Special,A,Branch,standard cars,Medsize
pacific states,Yes,Extended,superior education,employed,F,urban,Married,Special,B,Agent,standard cars,Small
pacific states,No,Basic,superior education,unemployed,F,urban,Single,Personal,A,Branch,standard cars,Small
mountain states,No,Basic,secondary or below,employed,M,urban,Married,Special,B,Call Center,standard cars,Small
pacific states,No,Extended,superior education,employed,F,urban,Married,Corporate,B,Web,standard cars,Small
pacific states,Yes,Basic,secondary or below,other,F,urban,Divorced,Corporate,A,Agent,standard cars,Medsize
mountain states,No,Basic,superior education,other,F,urban,Married,Personal,A,Branch,standard cars,Small
mountain states,No,Basic,secondary or below,employed,M,urban,Single,Personal,A,Agent,standard cars,Medsize
pacific states,No,Basic,secondary or below,unemployed,F,urban,Divorced,Personal,B,Agent,standard cars,Medsize
pacific states,No,Basic,superior education,employed,M,urban,Married,Personal,C,Call Center,standard cars,Small
mountain states,No,Basic,superior education,unemployed,F,urban,Single,Personal,A,Agent,standard cars,Small
pacific states,No,Basic,superior education,employed,F,urban,Married,Personal,D,Call Center,standard cars,Medsize
pacific states,No,Basic,secondary or below,employed,F,urban,Married,Personal,C,Branch,standard cars,Small
pacific states,No,Basic,secondary or below,employed,M,urban,Married,Personal,C,Agent,standard cars,Medsize
pacific states,No,Extended,superior education,unemployed,M,urban,Married,Personal,B,Call Center,standard cars,Small
mountain states,No,Premium,superior education,employed,M,rural,Single,Corporate,A,Agent,standard cars,Medsize
pacific states,No,Basic,superior education,employed,F,urban,Married,Corporate,B,Web,standard cars,Medsize
mountain states,No,Basic,superior education,unemployed,M,urban,Single,Personal,A,Web,luxury cars,Small
mountain states,No,Basic,superior education,employed,F,urban,Single,Personal,D,Agent,standard cars,Medsize
pacific states,No,Extended,secondary or below,unemployed,M,urban,Single,Personal,A,Branch,standard cars,Small
pacific states,No,Extended,secondary or below,employed,M,urban,Married,Personal,B,Branch,standard cars,Medsize
pacific states,Yes,Basic,superior education,employed,M,urban,Married,Corporate,A,Agent,standard cars,Large
mountain states,No,Basic,superior education,unemployed,M,urban,Married,Personal,B,Call Center,standard cars,Large
mountain states,No,Extended,secondary or below,unemployed,F,urban,Single,Corporate,A,Agent,luxury cars,Medsize
pacific states,No,Basic,secondary or below,employed,F,rural,Married,Special,D,Branch,standard cars,Medsize
pacific states,No,Extended,superior education,employed,M,urban,Married,Personal,A,Call Center,standard cars,Medsize
mountain states,No,Extended,secondary or below,employed,F,rural,Married,Personal,B,Branch,standard cars,Medsize
pacific states,No,Basic,superior education,other,M,urban,Married,Corporate,C,Branch,standard cars,Small
pacific states,No,Basic,superior education,employed,M,urban,Married,Personal,A,Call Center,standard cars,Small
pacific states,No,Extended,superior education,employed,M,urban,Single,Personal,B,Call Center,standard cars,Medsize
pacific states,No,Basic,superior education,employed,F,urban,Married,Corporate,A,Call Center,luxury cars,Medsize
